question,answer,question_arm,answer_arm
What is the largest planet in our solar system?,Jupiter.,Ո՞րն է մեր արեգակնային համակարգի ամենամեծ մոլորակը:,Յուպիտեր.
"Who painted the famous artwork called ""The Last Judgment""?",Michelangelo.,"Ո՞վ է նկարել հայտնի արվեստի գործը, որը կոչվում է «Վերջին դատաստան»:",Միքելանջելո.
"Which country is known as the ""Land of the Free""?",The United States of America.,Ո՞ր երկիրն է հայտնի որպես «Ազատների երկիր»:,Ամերիկայի Միացյալ Նահանգներ.
what countries does the mississippi river run through?,The Mississippi River runs through the United States.,Ո՞ր երկրների միջով է անցնում Միսիսիպի գետը:,Միսիսիպի գետը հոսում է Միացյալ Նահանգներով։
what did edward jenner do for a living?,Edward Jenner was a physician.,ինչո՞վ էր զբաղվում Էդվարդ Ջենները:,Էդվարդ Ջենները բժիշկ էր։
what movie did rihanna play in?,"Rihanna played in the movie ""Ocean's 8.""",ո՞ր ֆիլմում է խաղացել Ռիհաննան,Ռիհաննան խաղացել է «Օուշենի 8» ֆիլմում։
what do catholics call their god?,"Catholics call their God ""God"" or ""the Lord.""",ինչպես են կաթոլիկները անվանում իրենց աստվածը:,Կաթոլիկներն իրենց Աստծուն անվանում են «Աստված» կամ «Տեր»:
Who is the author of the novel 1984?,The author of the novel 1984 is George Orwell.,Ո՞վ է 1984 վեպի հեղինակը։,1984 վեպի հեղինակը Ջորջ Օրուելն է։
what school did cam newton go to before auburn?,Cam Newton attended Blinn College before transferring to Auburn University.,Ո՞ր դպրոցն է սովորել Քեմ Նյուտոնը մինչև Օբերնը:,"Քեմ Նյուտոնը հաճախել է Բլինի քոլեջը, նախքան Օբերնի համալսարան տեղափոխվելը:"
who was the secretary of state when richard nixon was president?,Henry Kissinger.,"ով էր պետքարտուղարը, երբ Ռիչարդ Նիքսոնը նախագահ էր:",Հենրի Քիսինջեր.
How many players are there on a cricket team?,There are 11 players on a cricket team.,Քանի՞ խաղացող կա կրիկետի թիմում:,Կրիկետի թիմում կա 11 խաղացող:
"Who painted the famous artwork called ""The Girl with a Pearl Earring""?",Johannes Vermeer.,"Ո՞վ է նկարել հայտնի արվեստի գործը, որը կոչվում է «Մարգարտյա ականջօղով աղջիկը»:",Յոհաննես Վերմեեր.
Who is the founder of Microsoft?,Bill Gates.,Ո՞վ է Մայքրոսոֆթ-ի հիմնադիրը:,Բիլ Գեյթս.
What is the highest-grossing film of all time?,Avengers: Endgame.,Ո՞րն է բոլոր ժամանակների ամենաբարձր եկամուտ ունեցող ֆիլմը:,Վրիժառուներ. վերջնախաղ.
What is the smallest country in the world?,Vatican City.,Ո՞րն է աշխարհի ամենափոքր երկիրը:,Քաղաք Վատիկան.
Who wrote the novel Pride and Prejudice?,Jane Austen,Ո՞վ է գրել «Հպարտություն և նախապաշարմունք» վեպը:,Ջեյն Օսթին
what country was anton van leeuwenhoek from?,Netherlands.,Ո՞ր երկրից էր Անտոն վան Լևենհուկը:,Նիդեռլանդներ.
who are paul revere's parents?,Paul Revere's parents were Apollos Rivoire and Deborah Hichborn.,ովքեր են Փոլ Ռիվերի ծնողները,Փոլ Ռիվերի ծնողներն էին Ապոլոս Ռիվուարը և Դեբորա Հիչբորնը։
what did egyptians speak?,The ancient Egyptians spoke the ancient Egyptian language.,ինչ էին խոսում եգիպտացիները,Հին եգիպտացիները խոսում էին հին եգիպտական ​​լեզվով:
what type of political system is spain?,Spain is a constitutional monarchy.,ինչպիսի՞ քաղաքական համակարգ է Իսպանիան.,Իսպանիան սահմանադրական միապետություն է։
where is new york in the map?,New York is located in the northeastern part of the United States.,որտեղ է գտնվում Նյու Յորքը քարտեզի վրա:,Նյու Յորքը գտնվում է ԱՄՆ-ի հյուսիսարևելյան մասում։
Who painted the Mona Lisa?,Leonardo da Vinci.,Ո՞վ է նկարել Մոնա Լիզան:,Լեոնարդո դա Վինչի.
what guitar does duane allman play?,Duane Allman played a Gibson Les Paul guitar.,ի՞նչ կիթառ է նվագում duane allman-ը:,Դուան Ալմանը նվագել է Gibson Les Paul կիթառ:
what county is plainfield il in?,"Plainfield, IL is located in Will County.",Ո՞ր շրջանում է գտնվում Փլեյնֆիլդը:,"Plainfield, IL գտնվում է Ուիլ շրջան։"
In what year did the Titanic sink?,The Titanic sank in 1912.,Ո՞ր թվականին է խորտակվել Տիտանիկը:,Տիտանիկը խորտակվել է 1912 թվականին։
What is the national animal of Russia?,The national animal of Russia is the brown bear.,Ո՞րն է Ռուսաստանի ազգային կենդանին:,Ռուսաստանի ազգային կենդանին գորշ արջն է։
who played atticus finch in the movie?,Gregory Peck played Atticus Finch in the movie.,ով է խաղացել Ատտիկուս Ֆինչի ֆիլմում:,Գրեգորի Պեկը ֆիլմում մարմնավորել է Ատտիկուս Ֆինչին։
What is the main ingredient in chocolate?,Cocoa.,Ո՞րն է շոկոլադի հիմնական բաղադրիչը:,Կակաո.
who will david beckham play for in 2013?,David Beckham played for Paris Saint-Germain (PSG) in 2013.,ո՞ւմ համար է խաղալու Դեյվիդ Բեքհեմը 2013 թվականին.,Դևիդ Բեքհեմը 2013 թվականին հանդես է եկել ՊՍԺ-ում:
In which country would you find the Eiffel Tower?,France.,Ո՞ր երկրում կգտնեք Էյֆելյան աշտարակը:,Ֆրանսիա.
