question,answer,question_arm,answer_arm,generated_responses_arm_ZS,generated_responses_arm_FS,mBERT_Similarity_ZS,mBERT_Similarity_FS
What is the largest planet in our solar system?,Jupiter.,Ո՞րն է մեր արեգակնային համակարգի ամենամեծ մոլորակը:,Յուպիտեր.,"Ո՞րն է մեր արեգակնային համակարգի ամենամեծ մոլորակը: Ինչպես տեսնում ենք, այն բավականին «բարձր է» երկրայի կողքից: Այ","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞րն է մեր արեգակնային համակարգի ամենամեծ մոլորակը:
Answer: The sun's 12.7 times the Earth's circumference, and it's 4.9 times the Earth's mass.
Question : Ովքե՞ր են «Մերկ» մյո�ւզիքլի դերասաններ։
Answer:",0.37346366,0.34782988
"Who painted the famous artwork called ""The Last Judgment""?",Michelangelo.,"Ո՞վ է նկարել հայտնի արվեստի գործը, որը կոչվում է «Վերջին դատաստան»:",Միքելանջելո.,"Ո՞վ է նկարել հայտնի արվեստի գործը, որը կոչվում է «Վերջին դատաստան»: Այս հարցի պատասախանը շատ պարզ է. հանճարը: Նա համարձակ է, հավատարիմ, ին","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞վ է նկարել հայտնի արվեստի գործը, որը կոչվում է «Վերջին դատաստան»:
Answer: «Վիշնյովյան կտավներ» նոր նեգատիվ նշանաբանով կերամիկական նիկելապատ",0.57511497,0.51890624
"Which country is known as the ""Land of the Free""?",The United States of America.,Ո՞ր երկիրն է հայտնի որպես «Ազատների երկիր»:,Ամերիկայի Միացյալ Նահանգներ.,"Ո՞ր երկիրն է հայտնի որպես «Ազատների երկիր»:
Այս հարցին պատասխանելու համար պե...
Անկախ Հայաստանի առաջին «Անալիտիկո","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞ր երկիրն է հայտնի որպես «Ազատների երկիր»:
Answer: «Այս եք նկարագրող հոդվածը ստորև։»
Հայտարարո...
Հաջոր...
Հորացին...
Հ�",0.6951673,0.6829073
what countries does the mississippi river run through?,The Mississippi River runs through the United States.,Ո՞ր երկրների միջով է անցնում Միսիսիպի գետը:,Միսիսիպի գետը հոսում է Միացյալ Նահանգներով։,"Ո՞ր երկրների միջով է անցնում Միսիսիպի գետը:
Մի քանի տարինեի ընթացքու...
Այս տա­րի­նե­րը մեզ հա­մար բա­ցա­հայ�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞ր երկրների միջով է անցնում Միսիսիպի գետը:
Answer: The road from Pelion to Pelion will be paved in two days, with traffic backed up. Traffic will be backed up from Aitolikou, following the repair works on the road.
Question : Ի՞նչ է արվեց Հալեպ քաղած ժամանակ Ազգ",0.74788857,0.71419024
what did edward jenner do for a living?,Edward Jenner was a physician.,ինչո՞վ էր զբաղվում Էդվարդ Ջենները:,Էդվարդ Ջենները բժիշկ էր։,"ինչո՞վ էր զբաղվում Էդվարդ Ջենները:
- Ինձ համար դա շատ կարևոր է։ Ես շահագրգռված եմ, որպեսզի հայ երաժի","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: ինչո՞վ էր զբաղվում Էդվարդ Ջենները:
Answer: «Էդ գիրքը, որ ես գրել եմ մինևչև վիրահատու...»։
Հետաքրքրող հար�",0.79477584,0.69495535
what movie did rihanna play in?,"Rihanna played in the movie ""Ocean's 8.""",ո՞ր ֆիլմում է խաղացել Ռիհաննան,Ռիհաննան խաղացել է «Օուշենի 8» ֆիլմում։,"ո՞ր ֆիլմում է խաղացել Ռիհաննան։
Այս հարցին պատասխանելու համար նա պառկել, լվացվել-սուրճ է քաշե�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: ո՞ր ֆիլմում է խաղացել Ռիհաննան
Answer: The action sequence for the film is played from left to right.
Question : Ովքե՞ր, ինքնին, կարող են «մերկ» լին...
Answer: No. Ոչ ոք։
Answer:",0.8329811,0.6969584
what do catholics call their god?,"Catholics call their God ""God"" or ""the Lord.""",ինչպես են կաթոլիկները անվանում իրենց աստվածը:,Կաթոլիկներն իրենց Աստծուն անվանում են «Աստված» կամ «Տեր»:,"ինչպես են կաթոլիկները անվանում իրենց աստվածը: Այս համատեքստու...
Աստրախանի հայերական դպրոցի տնօրեր Հայկ Միրաքյ","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: ինչպես են կաթոլիկները անվանում իրենց աստվածը:
Answer: - Ինչ է ասվու...
Question: - Ովքե՞ր եկել եմ Հիսուրիա կամ Համակարդակ:
Answer - Հով",0.82951415,0.7462832
Who is the author of the novel 1984?,The author of the novel 1984 is George Orwell.,Ո՞վ է 1984 վեպի հեղինակը։,1984 վեպի հեղինակը Ջորջ Օրուելն է։,"Ո՞վ է 1984 վեպի հեղինակը։
Հեղափոխությու...
Հովհաննես Թուանյանի մասին պատմող գիրքը հայեր�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞վ է 1984 վեպի հեղինակը։
Answer: 1985 վիպակի գլխավոր հզորագուցյալը Մոնթեի թիկնապահներից մե...
Answer: The First Citizen �",0.7633772,0.7082508
what school did cam newton go to before auburn?,Cam Newton attended Blinn College before transferring to Auburn University.,Ո՞ր դպրոցն է սովորել Քեմ Նյուտոնը մինչև Օբերնը:,"Քեմ Նյուտոնը հաճախել է Բլինի քոլեջը, նախքան Օբերնի համալսարան տեղափոխվելը:","Ո՞ր դպրոցն է սովորել Քեմ Նյուտոնը մինչև Օբերնը:
Հետաքրքիր փաստեր Քուքին ու նրա ընտանիքի մասին
Քերրին, որ հա�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: Ո՞ր դպրոցն է սովորել Քեմ Նյուտոնը մինչև Օբերնը:
Answer: The school in question is Hovhan Lucky Childhood Home, a private school in Yerevan.
Question : Ի՞նչ է անվանվեց հայկական հուրախուԹյոնրի դեմքը,",0.88962346,0.76637554
who was the secretary of state when richard nixon was president?,Henry Kissinger.,"ով էր պետքարտուղարը, երբ Ռիչարդ Նիքսոնը նախագահ էր:",Հենրի Քիսինջեր.,"ով էր պետքարտուղարը, երբ Ռիչարդ Նիքսոնը նախագահ էր: Նա հայտարարեց, որ իր համար մեծ պատիվ կլինի հանդիպեր նաեւ Սերաֆ�","Question: Ո՞րն է Կանադայի մայրաքաղաքը:?
Answer: Կանադայի մայրաքաղաքը Օտտավան է:
Question: Ո՞վ է 1984 վեպի հեղինակը։?
Answer: 1984 վեպի հեղինակը Ջորջ Օրուելն է։
Question: Ո՞վ է Հայաստանի նախագահը:
Answer: Հայաստանի նախագահն է Արմեն Սարգսյանը.
Question: Քանի՞ կողմ ունի հնգանկյունը:
Answer: Հնգանկյունը ունի հինգ կողմ և հինգ անկյուն։

Question: ով էր պետքարտուղարը, երբ Ռիչարդ Նիքսոնը նախագահ էր:
Answer: The New York Times թեր թղթակիցը պնդուցել էև, որ Նելցոն Դելանոմ կամ Նորա Աքս",0.72549736,0.54329324
